Site Name: CHESTER
Location: Chester Muni, MA
Latitude [N]: 42.28972
Longitude [W]: 72.99786
Time Zone [hrs from GMT]: -5
Elevation [m]: 0
Time Step of Data [seconds]: 600
Logger Sample Interval [seconds]: 2
Report Time Period: 01/01/2007 to 07/01/2007 10:50:00
Data Collection By: RERL @ Univ. of Massachusetts
Report Generated: 07/14/2007 22:40:34
Comments: 

Sensors: Sensor Name, Type, Designation, Height Above Ground [m],Measurement Units
Sensor #1: Etmp2DEGC,External Temperature,Primary,2,Units
Sensor #2: EtmpSD2DEGC,External Temperature Standard Deviation,Primary,2,Units
Sensor #3: Anem39aMS,Anemometer,Primary,39,m/s
Sensor #4: AnemSD39aMS,Anemometer Standard Deviation,Primary,39,m/s
Sensor #5: Anem39bMS,Anemometer,Secondary,39,m/s
Sensor #6: AnemSD39bMS,Anemometer Standard Deviation,Secondary,39,m/s
Sensor #7: Anem30aMS,Anemometer,Primary,30,m/s
Sensor #8: AnemSD30aMS,Anemometer Standard Deviation,Primary,30,m/s
Sensor #9: Anem30bMS,Anemometer,Secondary,30,m/s
Sensor #10: AnemSD30bMS,Anemometer Standard Deviation,Secondary,30,m/s
Sensor #11: Anem25MS,Anemometer,Primary,25,Units
Sensor #12: AnemSD25MS,Anemometer Standard Deviation,Primary,25,Units
Sensor #13: Vane39DEG,Wind Direction Vane,Primary,39,Units
Sensor #14: VaneSD39DEG,Wind Direction Vane Standard Deviation,Primary,39,Units
Sensor #15: Vane30DEG,Wind Direction Vane,Primary,30,Units
Sensor #16: VaneSD30DEG,Wind Direction Vane Standard Deviation,Primary,30,Units
Sensor #17: Vane25DEG,Wind Direction Vane,Primary,25,Units
Sensor #18: VaneSD25DEG,Wind Direction Vane Standard Deviation,Primary,25,Units
Sensor #19: Anem39yMS,Anemometer,Consolidated data (larger value selected),39,m/s
Sensor #20: Anem30yMS,Anemometer,Consolidated data (larger value selected),30,m/s

Applied Validation Filter Code, Filter Name
-988, Dissimilar sensors
-989, Out of Range
-991, Icing or wet snow event
-999, Missing Data

***
Day-Month-Year Hour:Minute,Etmp2DEGC,EtmpSD2DEGC,Anem39aMS,AnemSD39aMS,Anem39bMS,AnemSD39bMS,Anem30aMS,AnemSD30aMS,Anem30bMS,AnemSD30bMS,Anem25MS,AnemSD25MS,Vane39DEG,VaneSD39DEG,Vane30DEG,VaneSD30DEG,Vane25DEG,VaneSD25DEG,Anem39yMS,Anem30yMS

2007-01-01, 00:00,-1,0,4,0.4,4,0.4,3.6,0.5,3.4,0.6,3.2,0.6,151.7,5.9,146.9,7.9,143.7,11.7,4,3.6
2007-01-01, 00:10,-1.2,0,3.7,0.5,3.7,0.6,3.1,0.6,2.9,0.7,2.8,0.6,145.6,9.4,142.9,10.3,140.2,12.2,3.7,3.1
2007-01-01, 00:20,-1.4,0,-991,-991,-991,-991,2.9,0.6,2.6,0.7,2.6,0.6,-991,-991,146.3,9,142.5,11.2,3.4,2.9
2007-01-01, 00:30,-1.4,0,-991,-991,-991,-991,3.3,0.4,3,0.4,2.9,0.5,-991,-991,144.1,7,140.3,7.9,3.5,3.3
2007-01-01, 00:40,-1.4,0,-991,-991,-991,-991,3.3,0.6,3,0.6,2.9,0.5,-991,-991,144.2,9,139,12.2,3.6,3.3
2007-01-01, 00:50,-1.4,0,-991,-991,-991,-991,3.6,0.6,3.3,0.6,3.1,0.7,-991,-991,144.4,8.7,140.8,13.9,4.2,3.6
2007-01-01, 01:00,-1.6,0,-991,-991,-991,-991,4.2,0.5,4,0.5,3.8,0.5,-991,-991,147.8,11.2,143,11.7,4.6,4.2
2007-01-01, 01:10,-1.6,0,-991,-991,-991,-991,4.2,0.6,4,0.6,3.8,0.7,-991,-991,145.3,10.3,142.6,11.2,4.5,4.2
2007-01-01, 01:20,-1.4,0,-991,-991,-991,-991,4.3,0.6,4.2,0.5,3.9,0.6,-991,-991,149.8,9.9,145.5,10.8,4.7,4.3
2007-01-01, 01:30,-1.3,0,-991,-991,-991,-991,3.9,0.7,3.7,0.7,3.5,0.7,-991,-991,139.5,10.3,135.1,11.2,4.3,3.9
2007-01-01, 01:40,-1.3,0,-991,-991,-991,-991,4,0.5,3.7,0.6,3.6,0.5,-991,-991,140.3,9.9,136.9,11.7,4.4,4
2007-01-01, 01:50,-1.3,0,-991,-991,-991,-991,4.4,0.5,4.2,0.6,3.9,0.6,-991,-991,147.8,8.7,144.2,9,4.8,4.4
2007-01-01, 02:00,-1.2,0,-991,-991,-991,-991,4.5,0.9,4.2,1,4.1,0.9,-991,-991,143.5,7.9,141.1,9.9,5,4.5
2007-01-01, 02:10,-1.2,0,-991,-991,-991,-991,4,0.7,3.8,0.7,3.5,0.7,-991,-991,137.4,9,134.9,10.3,4.5,4
2007-01-01, 02:20,-1.1,0,-991,-991,-991,-991,3.5,0.5,3.4,0.6,3,0.6,-991,-991,130.7,9,129.2,9.9,4.1,3.5
2007-01-01, 02:30,-0.9,0,-991,-991,-991,-991,3.7,0.6,3.5,0.6,3.3,0.6,-991,-991,136.8,7.9,136.4,11.7,4.3,3.7
2007-01-01, 02:40,-0.9,0,-991,-991,-991,-991,3.9,0.8,3.8,0.8,3.5,0.7,-991,-991,138.5,12.2,137.9,13.4,4.6,3.9
2007-01-01, 02:50,-0.9,0,-991,-991,-991,-991,3.7,0.7,3.5,0.7,3.4,0.8,-991,-991,136.8,11.2,134.1,12.2,4.2,3.7
2007-01-01, 03:00,-0.8,0,-991,-991,-991,-991,3.8,0.7,3.6,0.7,3.4,0.7,-991,-991,131.5,11.7,129,14.6,4.4,3.8
2007-01-01, 03:10,-0.9,0,-991,-991,-991,-991,4.3,0.6,4.3,0.6,4,0.7,-991,-991,130.9,9.4,130.8,12.8,5,4.3
2007-01-01, 03:20,-0.7,0,-991,-991,-991,-991,4.3,0.7,4.4,0.7,4,0.7,-991,-991,134.2,8.7,133.3,10.8,5,4.4
2007-01-01, 03:30,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,5,4.3
2007-01-01, 03:40,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,4.4,3.9
2007-01-01, 03:50,-0.5,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,4.5,3.9
2007-01-01, 04:00,-0.5,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,2.9
2007-01-01, 04:10,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.5,3
2007-01-01, 04:20,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,2.9
2007-01-01, 04:30,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.5,2.9
2007-01-01, 04:40,-0.6,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,2.8
2007-01-01, 04:50,-0.4,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.4,3
2007-01-01, 05:00,-0.3,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,2.8
2007-01-01, 05:10,-0.3,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.8,2.5
2007-01-01, 05:20,-0.2,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.2,2.1
2007-01-01, 05:30,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.7,0.9
2007-01-01, 05:40,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.8,0.4
2007-01-01, 05:50,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3,0.4
2007-01-01, 06:00,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.3,0.4
2007-01-01, 06:10,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,3.6,0.4
2007-01-01, 06:20,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.8,0.4
2007-01-01, 06:30,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,2.7,0.4
2007-01-01, 06:40,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,1.7,0.4
2007-01-01, 06:50,0,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 07:00,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 07:10,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
2007-01-01, 07:20,-0.1,0,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,-991,0.4,0.4
